id,nombre,descripcion,categoria,marca,material,precio_original,descuento,precio_final,colores,tallas,disponibilidad,stock_total,disponible,destacado,nuevo,temporada,puntuacion,num_resenas,codigo_barras,fecha_ingreso
FS0001,Botas Casual Comfort,"Botas en Algodón 100%, diseño moderno y cómodo. Perfecto para uso diario.",Botas,Casual Comfort,Algodón 100%,37.9,0,37.9,"['Bordeaux', 'Naranja']","['44', '42', '40', '35']","{'Bordeaux': {'44': 13, '42': 8, '40': 13, '35': 16}, 'Naranja': {'44': 8, '42': 14, '40': 7, '35': 13}}",92,True,False,False,Todo el año,3.7,125,7811837072371,2024-10-23
FS0002,Carteras Premium Line,"Carteras en Spandex, diseño moderno y cómodo. Perfecto para uso diario.",Carteras,Premium Line,Spandex,42.9,0,42.9,['Bordeaux'],['Único'],{'Bordeaux': {'Único': 19}},19,True,False,False,Otoño,5.0,20,7828947007629,2024-04-19
FS0003,Sandalias Fashion Store,"Sandalias en Algodón 100%, diseño moderno y cómodo. Perfecto para uso diario.",Sandalias,Fashion Store,Algodón 100%,95.9,0,95.9,"['Marrón', 'Beige', 'Naranja']","['45', '39', '41', '42', '37', '36', '40', '44']","{'Marrón': {'45': 18, '39': 0, '41': 1, '42': 18, '37': 4, '36': 10, '40': 7, '44': 19}, 'Beige': {'45': 12, '39': 7, '41': 16, '42': 20, '37': 0, '36': 10, '40': 0, '44': 2}, 'Naranja': {'45': 12, '39': 7, '41': 20, '42': 0, '37': 5, '36': 0, '40': 12, '44': 3}}",203,True,True,False,Invierno,4.8,24,7864825848748,2024-03-12
FS0004,Camisa Lino Sport Active,"Camisa Lino en Lino, diseño moderno y cómodo. Perfecto para uso diario.",Camisas,Sport Active,Lino,115.9,13,100.83,"['Bordeaux', 'Verde Oliva']","['XS', 'XL', 'M']","{'Bordeaux': {'XS': 1, 'XL': 10, 'M': 1}, 'Verde Oliva': {'XS': 0, 'XL': 20, 'M': 2}}",34,True,False,False,Primavera,3.6,78,7823718124670,2024-01-05
FS0005,Pantalón Casual Casual Comfort,"Pantalón Casual en Algodón-Poliéster, diseño moderno y cómodo. Perfecto para uso diario.",Pantalones,Casual Comfort,Algodón-Poliéster,153.9,0,153.9,"['Naranja', 'Blanco']","['32', '28', '38']","{'Naranja': {'32': 16, '28': 20, '38': 0}, 'Blanco': {'32': 16, '28': 19, '38': 0}}",71,True,False,False,Primavera,4.5,77,7812979380801,2024-09-26
FS0006,Zapatillas Deportivas Classic Collection,"Zapatillas Deportivas en Algodón 100%, diseño moderno y cómodo. Perfecto para uso diario.",Zapatillas,Classic Collection,Algodón 100%,121.9,0,121.9,['Amarillo'],"['36', '39', '44', '43', '35', '42']","{'Amarillo': {'36': 2, '39': 0, '44': 7, '43': 6, '35': 19, '42': 0}}",34,True,False,False,Otoño,3.8,102,7834844334395,2024-02-06
FS0007,Hoodies Elegant Touch,"Hoodies en Lino, diseño moderno y cómodo. Perfecto para uso diario.",Hoodies,Elegant Touch,Lino,47.5,0,47.5,['Rosa'],"['XS', 'L', 'XXL', 'M']","{'Rosa': {'XS': 0, 'L': 19, 'XXL': 7, 'M': 8}}",34,True,False,False,Verano,3.7,94,7827082696828,2024-02-17
FS0008,Camiseta Basic Elegant Touch,"Camiseta Basic en Lino, diseño moderno y cómodo. Perfecto para uso diario.",Camisetas,Elegant Touch,Lino,37.9,0,37.9,"['Blanco', 'Naranja', 'Crema', 'Bordeaux']","['M', 'S', 'XL']","{'Blanco': {'M': 19, 'S': 3, 'XL': 18}, 'Naranja': {'M': 0, 'S': 3, 'XL': 5}, 'Crema': {'M': 17, 'S': 11, 'XL': 17}, 'Bordeaux': {'M': 8, 'S': 7, 'XL': 9}}",117,True,True,False,Invierno,4.0,62,7874838539610,2024-08-14
FS0009,Camiseta Premium Sport Active,"Camiseta Premium en Lana, diseño moderno y cómodo. Perfecto para uso diario.",Camisetas,Sport Active,Lana,73.9,5,70.2,"['Blanco', 'Azul', 'Amarillo', 'Morado']","['XS', 'S', 'L']","{'Blanco': {'XS': 19, 'S': 2, 'L': 0}, 'Azul': {'XS': 11, 'S': 8, 'L': 9}, 'Amarillo': {'XS': 13, 'S': 0, 'L': 13}, 'Morado': {'XS': 0, 'S': 0, 'L': 4}}",79,True,False,False,Todo el año,4.3,5,7845390476815,2024-04-01
FS0010,Jeans Skinny Sport Active,"Jeans Skinny en Ante, diseño moderno y cómodo. Perfecto para uso diario.",Jeans,Sport Active,Ante,171.9,0,171.9,['Crema'],"['32', '30', '40']","{'Crema': {'32': 2, '30': 16, '40': 2}}",20,True,False,False,Otoño,3.8,90,7862689131317,2024-07-04
FS0011,Vestido Fiesta Modern Style,"Vestido Fiesta en Lana, diseño moderno y cómodo. Perfecto para uso diario.",Vestidos,Modern Style,Lana,122.9,46,66.37,"['Verde Oliva', 'Gris']","['XL', 'L', 'XS']","{'Verde Oliva': {'XL': 2, 'L': 14, 'XS': 4}, 'Gris': {'XL': 8, 'L': 5, 'XS': 16}}",49,True,False,False,Otoño,3.8,89,7863724299523,2024-07-25
FS0012,Sandalias Urban Wear,"Sandalias en Lana, diseño moderno y cómodo. Perfecto para uso diario.",Sandalias,Urban Wear,Lana,82.9,0,82.9,['Gris Oscuro'],"['41', '43', '45', '40']","{'Gris Oscuro': {'41': 2, '43': 7, '45': 2, '40': 20}}",31,True,True,False,Verano,4.9,6,7827874114720,2024-10-09
FS0013,Hoodies Premium Line,"Hoodies en Cuero, diseño moderno y cómodo. Perfecto para uso diario.",Hoodies,Premium Line,Cuero,30.9,0,30.9,"['Crema', 'Amarillo', 'Beige']","['XL', 'S', 'XS', 'M']","{'Crema': {'XL': 13, 'S': 4, 'XS': 9, 'M': 19}, 'Amarillo': {'XL': 15, 'S': 14, 'XS': 2, 'M': 19}, 'Beige': {'XL': 2, 'S': 12, 'XS': 0, 'M': 6}}",115,True,True,False,Invierno,4.3,27,7875922424819,2024-08-15
FS0014,Bolso Bandolera Premium Line,"Bolso Bandolera en Denim, diseño moderno y cómodo. Perfecto para uso diario.",Bolsos,Premium Line,Denim,119.9,39,73.14,"['Marrón', 'Azul Cielo', 'Gris Oscuro']",['Único'],"{'Marrón': {'Único': 19}, 'Azul Cielo': {'Único': 0}, 'Gris Oscuro': {'Único': 18}}",37,True,False,False,Primavera,4.5,17,7859342481098,2024-04-03
FS0015,Blazers Sport Active,"Blazers en Algodón 100%, diseño moderno y cómodo. Perfecto para uso diario.",Blazers,Sport Active,Algodón 100%,322.5,21,254.78,['Gris'],"['XXL', 'XL', 'L', 'XS']","{'Gris': {'XXL': 12, 'XL': 12, 'L': 6, 'XS': 7}}",37,True,False,False,Todo el año,3.8,14,7832647593885,2024-09-27
FS0016,Blazers Sport Active,"Blazers en Spandex, diseño moderno y cómodo. Perfecto para uso diario.",Blazers,Sport Active,Spandex,193.5,0,193.5,['Bordeaux'],"['L', 'XS', 'S', 'XL']","{'Bordeaux': {'L': 1, 'XS': 5, 'S': 9, 'XL': 13}}",28,True,False,False,Todo el año,4.1,26,7861619834730,2024-09-26
FS0017,Carteras Premium Line,"Carteras en Lycra, diseño moderno y cómodo. Perfecto para uso diario.",Carteras,Premium Line,Lycra,35.5,27,25.91,"['Naranja', 'Bordeaux']",['Único'],"{'Naranja': {'Único': 7}, 'Bordeaux': {'Único': 2}}",9,True,False,False,Invierno,4.4,100,7876859661517,2024-11-24
FS0018,Pantalón Deportivo Urban Wear,"Pantalón Deportivo en Poliéster, diseño moderno y cómodo. Perfecto para uso diario.",Pantalones,Urban Wear,Poliéster,129.5,24,98.42,"['Azul Marino', 'Verde', 'Amarillo', 'Rosa']","['36', '32', '30', '38', '40', '34']","{'Azul Marino': {'36': 6, '32': 9, '30': 12, '38': 13, '40': 4, '34': 2}, 'Verde': {'36': 18, '32': 7, '30': 2, '38': 18, '40': 7, '34': 5}, 'Amarillo': {'36': 7, '32': 12, '30': 18, '38': 6, '40': 0, '34': 5}, 'Rosa': {'36': 13, '32': 15, '30': 11, '38': 16, '40': 6, '34': 6}}",218,True,False,True,Todo el año,4.8,137,7832302969506,2024-04-01
