pregunta,categoria,intent,contexto,sinonimos
¿Cuánto vale?,precio,consulta_precio,pregunta_directa,"cuesta,vale,precio,costo,tarifa"
¿Qué precio tiene?,precio,consulta_precio,pregunta_directa,"cuesta,vale,precio,costo,tarifa"
¿Cuánto me sale?,precio,consulta_precio,informal,"cuesta,vale,precio,costo,tarifa"
¿A cuánto está?,precio,consulta_precio,coloquial,"cuesta,vale,precio,costo,tarifa"
¿Cuál es el precio?,precio,consulta_precio,formal,"cuesta,vale,precio,costo,tarifa"
¿Qué tan caro es?,precio,consulta_precio,comparativo,"caro,costoso,económico,barato"
¿Es muy caro?,precio,consulta_precio,preocupacion,"caro,costoso,económico,barato"
¿Está en oferta?,precio,consulta_oferta,promocion,"descuento,rebaja,promoción,ganga"
¿Hay descuentos?,precio,consulta_oferta,promocion,"descuento,rebaja,promoción,ganga"
¿Tienen promociones?,precio,consulta_oferta,promocion,"descuento,rebaja,promoción,ganga"
¿Cuánto cuesta la camiseta?,precio,consulta_precio_producto,especifico,"camiseta,polo,remera,playera"
¿Precio del pantalón?,precio,consulta_precio_producto,especifico,"pantalón,jean,vaquero,mezclilla"
¿Valor del vestido?,precio,consulta_precio_producto,especifico,"vestido,falda,túnica"
¿Costo de los zapatos?,precio,consulta_precio_producto,especifico,"zapatos,calzado,zapatillas,tenis"
Me interesa saber el precio,precio,interes_precio,formal,"interesa,quiero,deseo,necesito"
Quiero conocer el costo,precio,interes_precio,formal,"interesa,quiero,deseo,necesito"
Necesito saber cuánto vale,precio,necesidad_precio,urgente,"necesito,requiero,urge,preciso"
¿Podrías decirme el precio?,precio,solicitud_precio,cortés,"podrías,puedes,serías,harías"
Me gustaría conocer el precio,precio,interes_precio,educado,"gustaría,agradaría,complacería"
¿Tienen talla M?,talla,consulta_talla,especifica,"M,mediana,medium,38"
¿Hay talla grande?,talla,consulta_talla,generica,"grande,L,XL,XXL"
¿Qué tallas manejan?,talla,consulta_tallas_disponibles,general,"manejan,tienen,ofrecen,venden"
¿Tienen mi número?,talla,consulta_talla_personal,personal,"número,medida,size,talla"
¿Está disponible en talla S?,talla,consulta_disponibilidad_talla,especifica,"S,pequeña,chica,small"
¿Hay en talla 40?,talla,consulta_talla_numerica,numerica,"40,cuarenta,número 40"
¿Qué tallas tienen en stock?,talla,consulta_stock_tallas,inventario,"stock,existencia,disponible"
¿Tienen talla extra grande?,talla,consulta_talla_grande,especifica,"XL,XXL,extra grande"
¿Manejan tallas pequeñas?,talla,consulta_talla_pequeña,especifica,"XS,S,pequeña,chica"
No encuentro mi talla,talla,problema_talla,dificultad,"encuentro,hay,existe,tienen"
¿Podrían traer mi talla?,talla,solicitud_talla,peticion,"traer,conseguir,pedir,encargar"
¿Cuándo llega mi talla?,talla,consulta_reposicion,temporal,"llega,viene,restock,reposición"
¿Tienen stock?,disponibilidad,consulta_stock,general,"stock,existencia,disponible,hay"
¿Está disponible?,disponibilidad,consulta_disponibilidad,general,"disponible,hay,existe,tienen"
¿Hay en existencia?,disponibilidad,consulta_existencia,formal,"existencia,disponible,stock,hay"
¿Queda alguno?,disponibilidad,consulta_remanente,cantidad,"queda,sobra,resta,hay"
¿Tienen en tienda?,disponibilidad,consulta_tienda_fisica,ubicacion,"tienda,local,negocio,establecimiento"
¿Hay en stock hoy?,disponibilidad,consulta_stock_actual,temporal,"hoy,ahora,actual,momento"
¿Cuántos quedan?,disponibilidad,consulta_cantidad,inventario,"quedan,hay,sobran,restan"
Se agotó?,disponibilidad,consulta_agotamiento,preocupacion,"agotó,acabó,terminó,vendió"
¿Llegará más?,disponibilidad,consulta_reposicion,futuro,"llegará,vendrá,traerán,restock"
¿Cuándo restock?,disponibilidad,consulta_reposicion_tiempo,temporal,"restock,reposición,llegada,envío"
No hay en línea,disponibilidad,reporte_falta_online,problema,"línea,online,web,internet"
¿Pueden conseguirlo?,disponibilidad,solicitud_conseguir,peticion,"conseguir,traer,buscar,pedir"
¿Qué colores tienen?,color,consulta_colores,general,"colores,tonos,variantes,opciones"
¿Viene en azul?,color,consulta_color_especifico,especifico,"azul,celeste,marino,índigo"
¿Hay en negro?,color,consulta_color_especifico,especifico,"negro,oscuro,carbon"
¿Tienen en blanco?,color,consulta_color_especifico,especifico,"blanco,crema,hueso,marfil"
¿Qué tonos manejan?,color,consulta_variedad_colores,opciones,"tonos,matices,gama,colores"
¿Hay más colores?,color,consulta_mas_colores,opciones,"más,otros,diferentes,adicionales"
¿En qué colores viene?,color,consulta_colores_producto,especifico,"viene,hay,existe,ofrecen"
¿Tienen variedad de colores?,color,consulta_variedad,opciones,"variedad,surtido,gama,selección"
¿Cuáles son los colores?,color,consulta_lista_colores,informacion,"cuáles,qué,cómo,todos"
¿Hay en rojo?,color,consulta_color_especifico,especifico,"rojo,bermejo,escarlata,granate"
¿Viene en verde?,color,consulta_color_especifico,especifico,"verde,esmeralda,oliva,lime"
¿Tienen en gris?,color,consulta_color_especifico,especifico,"gris,plomo,plateado,acero"
¿Hola?,general,saludo,informal,"hola,hello,hi,buenas"
¿Buenos días?,general,saludo,formal,"días,tardes,noches,saludos"
¿Me pueden ayudar?,general,solicitud_ayuda,cortés,"ayudar,asistir,colaborar,apoyar"
Necesito información,general,solicitud_informacion,formal,"información,datos,detalles,ayuda"
¿Qué productos tienen?,general,consulta_catalogo,general,"productos,artículos,mercancía,items"
¿Cómo puedo comprar?,general,proceso_compra,procedimiento,"comprar,adquirir,conseguir,obtener"
¿Hacen envíos?,general,consulta_envios,logistica,"envíos,delivery,entregas,despachos"
¿Dónde están?,general,consulta_ubicacion,ubicacion,"están,ubican,encuentran,quedan"
¿Cuáles son sus horarios?,general,consulta_horarios,temporal,"horarios,horas,atención,abierto"
¿Aceptan devoluciones?,general,politica_devoluciones,politicas,"devoluciones,cambios,returns,garantía"
¿Cómo es el cambio?,general,proceso_cambio,procedimiento,"cambio,devolución,intercambio,switch"
¿Tienen garantía?,general,consulta_garantia,seguridad,"garantía,warranty,protección,cobertura"
¿Qué métodos de pago aceptan?,general,metodos_pago,pagos,"pago,payment,tarjeta,efectivo"
¿Puedo pagar con tarjeta?,general,pago_tarjeta,pagos,"tarjeta,card,crédito,débito"
¿Aceptan efectivo?,general,pago_efectivo,pagos,"efectivo,cash,billetes,monedas"
Estoy buscando algo,general,busqueda_general,busqueda,"buscando,busco,quiero,necesito"
